,fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,Begin_Date,End_Date,Disaster_Period_Days,designated_area,id
0,DR-1-GA,1,GA,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-05-02T04:00:00Z,1953-05-02T04:00:00Z,5/2/53,5/2/53,0,Statewide,5f453123d07c217eca1a15d2
1,DR-2-TX,2,TX,Major Disaster,1953,Tornado,Tornado & Heavy Rainfall,NO,YES,YES,YES,1953-05-15T04:00:00Z,1953-05-15T04:00:00Z,5/15/53,5/15/53,0,Statewide,5f453123d07c217eca1a15e3
2,DR-3-LA,3,LA,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-05-29T04:00:00Z,1953-05-29T04:00:00Z,5/29/53,5/29/53,0,Statewide,5f453123d07c217eca1a15de
3,DR-4-MI,4,MI,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-02T04:00:00Z,1953-06-02T04:00:00Z,6/2/53,6/2/53,0,Statewide,5f453123d07c217eca1a15ea
4,DR-5-MT,5,MT,Major Disaster,1953,Flood,Floods,NO,YES,YES,YES,1953-06-06T04:00:00Z,1953-06-06T04:00:00Z,6/6/53,6/6/53,0,Statewide,5f453123d07c217eca1a15df
5,DR-6-MI,6,MI,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-09T04:00:00Z,1953-06-09T04:00:00Z,6/9/53,6/9/53,0,Statewide,5f453123d07c217eca1a15dd
6,DR-8-IA,8,IA,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-06-11T04:00:00Z,1953-06-11T04:00:00Z,6/11/53,6/11/53,0,Statewide,5f453123d07c217eca1a15e0
7,DR-7-MA,7,MA,Major Disaster,1953,Tornado,Tornado,NO,YES,YES,YES,1953-06-11T04:00:00Z,1953-06-11T04:00:00Z,6/11/53,6/11/53,0,Statewide,5f453123d07c217eca1a15e2
8,DR-9-TX,9,TX,Major Disaster,1953,Flood,Flood,NO,YES,YES,YES,1953-06-19T04:00:00Z,1953-06-19T04:00:00Z,6/19/53,6/19/53,0,Statewide,5f453123d07c217eca1a15e4
9,DR-11-NH,11,NH,Major Disaster,1953,Fire,Forest Fire,NO,YES,YES,YES,1953-07-02T04:00:00Z,1953-07-02T04:00:00Z,7/2/53,7/2/53,0,Statewide,5f453123d07c217eca1a15e5
10,DR-12-FL,12,FL,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1953-10-22T05:00:00Z,1953-10-22T05:00:00Z,10/22/53,10/22/53,0,Statewide,5f453123d07c217eca1a15e7
11,DR-13-AK,13,AK,Major Disaster,1954,Other,Severe Hardship,NO,YES,YES,YES,1953-10-30T05:00:00Z,1953-10-30T05:00:00Z,10/30/53,10/30/53,0,Statewide,5f453123d07c217eca1a15e8
12,DR-14-MS,14,MS,Major Disaster,1954,Tornado,Tornado,NO,YES,YES,YES,1953-12-06T05:00:00Z,1953-12-06T05:00:00Z,12/6/53,12/6/53,0,Statewide,5f453123d07c217eca1a15d4
13,DR-15-CA,15,CA,Major Disaster,1954,Flood,Flood & Erosion,NO,YES,YES,YES,1954-02-05T05:00:00Z,1954-02-05T05:00:00Z,2/5/54,2/5/54,0,Statewide,5f453123d07c217eca1a15e9
14,DR-16-GA,16,GA,Major Disaster,1954,Tornado,Tornado,NO,YES,YES,YES,1954-03-17T05:00:00Z,1954-03-17T05:00:00Z,3/17/54,3/17/54,0,Statewide,5f453123d07c217eca1a15eb
15,DR-17-IA,17,IA,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-06-23T04:00:00Z,1954-06-23T04:00:00Z,6/23/54,6/23/54,0,Statewide,5f453123d07c217eca1a15d3
16,DR-18-TX,18,TX,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-07-01T04:00:00Z,1954-07-01T04:00:00Z,7/1/54,7/1/54,0,Statewide,5f453123d07c217eca1a15d5
17,DR-19-NV,19,NV,Major Disaster,1954,Earthquake,Earthquake,NO,YES,YES,YES,1954-07-14T04:00:00Z,1954-07-14T04:00:00Z,7/14/54,7/14/54,0,Statewide,5f453123d07c217eca1a15d6
18,DR-20-SD,20,SD,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-07-31T04:00:00Z,1954-07-31T04:00:00Z,7/31/54,7/31/54,0,Statewide,5f453123d07c217eca1a15ee
19,DR-21-WV,21,WV,Major Disaster,1954,Flood,Flood,NO,YES,YES,YES,1954-08-04T04:00:00Z,1954-08-04T04:00:00Z,8/4/54,8/4/54,0,Statewide,5f453123d07c217eca1a15ef
20,DR-22-MA,22,MA,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-02T04:00:00Z,1954-09-02T04:00:00Z,9/2/54,9/2/54,0,Statewide,5f453123d07c217eca1a15f1
21,DR-23-RI,23,RI,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-02T04:00:00Z,1954-09-02T04:00:00Z,9/2/54,9/2/54,0,Statewide,5f453123d07c217eca1a15f2
22,DR-24-ME,24,ME,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-13T04:00:00Z,1954-09-13T04:00:00Z,9/13/54,9/13/54,0,Statewide,5f453123d07c217eca1a15f4
23,DR-25-CT,25,CT,Major Disaster,1954,Hurricane,Hurricanes,NO,YES,YES,YES,1954-09-17T04:00:00Z,1954-09-17T04:00:00Z,9/17/54,9/17/54,0,Statewide,5f453123d07c217eca1a15d7
24,DR-26-NY,26,NY,Major Disaster,1955,Hurricane,Hurricanes,NO,YES,YES,YES,1954-10-07T05:00:00Z,1954-10-07T05:00:00Z,10/7/54,10/7/54,0,Statewide,5f453123d07c217eca1a15d8
25,DR-27-NM,27,NM,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1954-10-13T05:00:00Z,1954-10-13T05:00:00Z,10/13/54,10/13/54,0,Statewide,5f453123d07c217eca1a15d9
26,DR-29-SC,29,SC,Major Disaster,1955,Hurricane,Hurricane,NO,YES,YES,YES,1954-10-17T05:00:00Z,1954-10-17T05:00:00Z,10/17/54,10/17/54,0,Statewide,5f453123d07c217eca1a15da
27,DR-28-NC,28,NC,Major Disaster,1955,Hurricane,Hurricane,NO,YES,YES,YES,1954-10-17T05:00:00Z,1954-10-17T05:00:00Z,10/17/54,10/17/54,0,Statewide,5f453123d07c217eca1a15f7
28,DR-30-IN,30,IN,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1954-10-26T05:00:00Z,1954-10-26T05:00:00Z,10/26/54,10/26/54,0,Statewide,5f453123d07c217eca1a15db
29,DR-31-AK,31,AK,Major Disaster,1955,Other,Severe Hardship,NO,YES,YES,YES,1954-11-10T05:00:00Z,1954-11-10T05:00:00Z,11/10/54,11/10/54,0,Statewide,5f453123d07c217eca1a15fb
30,DR-32-HI,32,HI,Major Disaster,1955,Volcano,Volcano,NO,YES,YES,YES,1955-04-01T05:00:00Z,1955-04-01T05:00:00Z,4/1/55,4/1/55,0,Statewide,5f453123d07c217eca1a15fc
31,DR-33-CO,33,CO,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-05-25T04:00:00Z,1955-05-25T04:00:00Z,5/25/55,5/25/55,0,Statewide,5f453123d07c217eca1a15dc
32,DR-34-KS,34,KS,Major Disaster,1955,Tornado,Tornado,NO,YES,YES,YES,1955-05-27T04:00:00Z,1955-05-27T04:00:00Z,5/27/55,5/27/55,0,Statewide,5f453123d07c217eca1a15fd
33,DR-35-OK,35,OK,Major Disaster,1955,Flood,Flood & Tornado,NO,YES,YES,YES,1955-06-01T04:00:00Z,1955-06-01T04:00:00Z,6/1/55,6/1/55,0,Statewide,5f453123d07c217eca1a15e1
34,DR-36-NV,36,NV,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-06-21T04:00:00Z,1955-06-21T04:00:00Z,6/21/55,6/21/55,0,Statewide,5f453123d07c217eca1a15fe
35,DR-37-NC,37,NC,Major Disaster,1955,Hurricane,Hurricanes,NO,YES,YES,YES,1955-08-13T04:00:00Z,1955-08-13T04:00:00Z,8/13/55,8/13/55,0,Statewide,5f453123d07c217eca1a15e6
36,DR-38-NM,38,NM,Major Disaster,1955,Flood,Flood,NO,YES,YES,YES,1955-08-15T04:00:00Z,1955-08-15T04:00:00Z,8/15/55,8/15/55,0,Statewide,5f453123d07c217eca1a15ff
37,DR-39-RI,39,RI,Major Disaster,1955,Hurricane,Hurricane & Flood,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15ec
38,DR-40-PA,40,PA,Major Disaster,1955,Flood,Floods & Rains,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15ed
39,DR-42-CT,42,CT,Major Disaster,1955,Hurricane,"Hurricane, Torrential Rain & Floods",NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15f0
40,DR-43-MA,43,MA,Major Disaster,1955,Hurricane,Hurricane & Floods,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a15f3
41,DR-41-NJ,41,NJ,Major Disaster,1955,Hurricane,Hurricane & Floods,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a1600
42,DR-44-SC,44,SC,Major Disaster,1955,Hurricane,Hurricanes,NO,YES,YES,YES,1955-08-20T04:00:00Z,1955-08-20T04:00:00Z,8/20/55,8/20/55,0,Statewide,5f453123d07c217eca1a1601
43,DR-45-NY,45,NY,Major Disaster,1955,Hurricane,Hurricane & Floods,NO,YES,YES,YES,1955-08-22T04:00:00Z,1955-08-22T04:00:00Z,8/22/55,8/22/55,0,Statewide,5f453123d07c217eca1a15f5
44,DR-46-AK,46,AK,Major Disaster,1956,Other,Severe Hardship,NO,YES,YES,YES,1955-12-22T05:00:00Z,1955-12-22T05:00:00Z,12/22/55,12/22/55,0,Statewide,5f453123d07c217eca1a1602
45,DR-47-CA,47,CA,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1955-12-23T05:00:00Z,1955-12-23T05:00:00Z,12/23/55,12/23/55,0,Statewide,5f453123d07c217eca1a15f6
46,DR-48-NV,48,NV,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1955-12-24T05:00:00Z,1955-12-24T05:00:00Z,12/24/55,12/24/55,0,Statewide,5f453123d07c217eca1a1603
47,DR-49-OR,49,OR,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1955-12-29T05:00:00Z,1955-12-29T05:00:00Z,12/29/55,12/29/55,0,Statewide,5f453123d07c217eca1a15f8
48,DR-50-WA,50,WA,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1956-02-25T05:00:00Z,1956-02-25T05:00:00Z,2/25/56,2/25/56,0,Statewide,5f453123d07c217eca1a15f9
49,DR-51-PA,51,PA,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1956-03-15T05:00:00Z,1956-03-15T05:00:00Z,3/15/56,3/15/56,0,Statewide,5f453123d07c217eca1a15fa
50,DR-52-NY,52,NY,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1956-03-29T05:00:00Z,1956-03-29T05:00:00Z,3/29/56,3/29/56,0,Statewide,5f453123d07c217eca1a1604
51,DR-53-MI,53,MI,Major Disaster,1956,Tornado,Tornado,NO,YES,YES,YES,1956-04-05T05:00:00Z,1956-04-05T05:00:00Z,4/5/56,4/5/56,0,Statewide,5f453123d07c217eca1a1605
52,DR-54-OK,54,OK,Major Disaster,1956,Tornado,Tornadoes,NO,YES,YES,YES,1956-04-07T05:00:00Z,1956-04-07T05:00:00Z,4/7/56,4/7/56,0,Statewide,5f453123d07c217eca1a1606
53,DR-55-ID,55,ID,Major Disaster,1956,Flood,Floods,NO,YES,YES,YES,1956-04-21T05:00:00Z,1956-04-21T05:00:00Z,4/21/56,4/21/56,0,Statewide,5f453123d07c217eca1a1607
54,DR-56-NC,56,NC,Major Disaster,1956,Severe Storm(s),Severe Storm,NO,YES,YES,YES,1956-04-24T05:00:00Z,1956-04-24T05:00:00Z,4/24/56,4/24/56,0,Statewide,5f453123d07c217eca1a1608
55,DR-57-OH,57,OH,Major Disaster,1956,Other,Wind Storm,NO,YES,YES,YES,1956-05-17T04:00:00Z,1956-05-17T04:00:00Z,5/17/56,5/17/56,0,Statewide,5f453123d07c217eca1a1609
56,DR-58-PA,58,PA,Major Disaster,1956,Severe Storm(s),Severe Storm,NO,YES,YES,YES,1956-05-21T04:00:00Z,1956-05-21T04:00:00Z,5/21/56,5/21/56,0,Statewide,5f453123d07c217eca1a160a
57,DR-59-CO,59,CO,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1956-06-12T04:00:00Z,1956-06-12T04:00:00Z,6/12/56,6/12/56,0,Statewide,5f453123d07c217eca1a160b
58,DR-60-OR,60,OR,Major Disaster,1956,Flood,Storm & Flood,NO,YES,YES,YES,1956-07-20T04:00:00Z,1956-07-20T04:00:00Z,7/20/56,7/20/56,0,Statewide,5f453123d07c217eca1a160c
59,DR-61-PA,61,PA,Major Disaster,1956,Severe Storm(s),Storm,NO,YES,YES,YES,1956-08-09T04:00:00Z,1956-08-09T04:00:00Z,8/9/56,8/9/56,0,Statewide,5f453123d07c217eca1a160d
60,DR-62-PR,62,PR,Major Disaster,1956,Hurricane,Hurricane,NO,YES,YES,YES,1956-08-18T04:00:00Z,1956-08-18T04:00:00Z,8/18/56,8/18/56,0,Statewide,5f453123d07c217eca1a160f
61,DR-63-NV,63,NV,Major Disaster,1956,Flood,Flood,NO,YES,YES,YES,1956-08-31T04:00:00Z,1956-08-31T04:00:00Z,8/31/56,8/31/56,0,Statewide,5f453123d07c217eca1a1610
62,DR-64-LA,64,LA,Major Disaster,1957,Hurricane,Hurricane,NO,YES,YES,YES,1956-10-04T04:00:00Z,1956-10-04T04:00:00Z,10/4/56,10/4/56,0,Statewide,5f453123d07c217eca1a1611
63,DR-65-CA,65,CA,Major Disaster,1957,Fire,Forest Fire,NO,YES,YES,YES,1956-12-29T05:00:00Z,1956-12-29T05:00:00Z,12/29/56,12/29/56,0,Statewide,5f453123d07c217eca1a1612
64,DR-66-KY,66,KY,Major Disaster,1957,Flood,Flood,NO,YES,YES,YES,1957-01-31T05:00:00Z,1957-01-31T05:00:00Z,1/31/57,1/31/57,0,Statewide,5f453123d07c217eca1a160e
65,DR-67-WV,67,WV,Major Disaster,1957,Flood,Flood,NO,YES,YES,YES,1957-01-31T05:00:00Z,1957-01-31T05:00:00Z,1/31/57,1/31/57,0,Statewide,5f453123d07c217eca1a1614
66,DR-68-VA,68,VA,Major Disaster,1957,Flood,Floods,NO,YES,YES,YES,1957-02-01T05:00:00Z,1957-02-01T05:00:00Z,2/1/57,2/1/57,0,Statewide,5f453123d07c217eca1a1615
67,DR-69-OR,69,OR,Major Disaster,1957,Flood,Flood,NO,YES,YES,YES,1957-03-01T05:00:00Z,1957-03-01T05:00:00Z,3/1/57,3/1/57,0,Statewide,5f453123d07c217eca1a1617
68,DR-70-WA,70,WA,Major Disaster,1957,Flood,Floods,NO,YES,YES,YES,1957-03-06T05:00:00Z,1957-03-06T05:00:00Z,3/6/57,3/6/57,0,Statewide,5f453123d07c217eca1a1619
69,DR-71-HI,71,HI,Major Disaster,1957,Other,Tidal Wave,NO,YES,YES,YES,1957-03-16T05:00:00Z,1957-03-16T05:00:00Z,3/16/57,3/16/57,0,Statewide,5f453123d07c217eca1a1613
70,DR-72-TX,72,TX,Major Disaster,1957,Hurricane,"Hurricane, Rain, Wind, Hail & Floods",NO,YES,YES,YES,1957-04-29T04:00:00Z,1957-04-29T04:00:00Z,4/29/57,4/29/57,0,Statewide,5f453123d07c217eca1a161a
71,DR-73-LA,73,LA,Major Disaster,1957,Hurricane,Floods & Hurricane,NO,YES,YES,YES,1957-05-16T04:00:00Z,1957-05-16T04:00:00Z,5/16/57,5/16/57,0,Statewide,5f453123d07c217eca1a161c
72,DR-74-OK,74,OK,Major Disaster,1957,Flood,Flood,NO,YES,YES,YES,1957-05-18T04:00:00Z,1957-05-18T04:00:00Z,5/18/57,5/18/57,0,Statewide,5f453123d07c217eca1a161d
73,DR-75-MO,75,MO,Major Disaster,1957,Tornado,Tornadoes & Floods,NO,YES,YES,YES,1957-05-22T04:00:00Z,1957-05-22T04:00:00Z,5/22/57,5/22/57,0,Statewide,5f453123d07c217eca1a161e
74,DR-76-ID,76,ID,Major Disaster,1957,Flood,Flood,NO,YES,YES,YES,1957-05-27T04:00:00Z,1957-05-27T04:00:00Z,5/27/57,5/27/57,0,Statewide,5f453123d07c217eca1a1620
75,DR-77-AR,77,AR,Major Disaster,1957,Tornado,"Tornadoes, Rain, Hail & Floods",NO,YES,YES,YES,1957-05-29T04:00:00Z,1957-05-29T04:00:00Z,5/29/57,5/29/57,0,Statewide,5f453123d07c217eca1a1616
76,DR-78-IL,78,IL,Major Disaster,1957,Flood,Floods,NO,YES,YES,YES,1957-06-22T04:00:00Z,1957-06-22T04:00:00Z,6/22/57,6/22/57,0,Statewide,5f453123d07c217eca1a1618
77,DR-79-ND,79,ND,Major Disaster,1957,Tornado,Tornado,NO,YES,YES,YES,1957-06-22T04:00:00Z,1957-06-22T04:00:00Z,6/22/57,6/22/57,0,Statewide,5f453123d07c217eca1a1622
78,DR-80-MN,80,MN,Major Disaster,1957,Flood,Floods,NO,YES,YES,YES,1957-06-22T04:00:00Z,1957-06-22T04:00:00Z,6/22/57,6/22/57,0,Statewide,5f453123d07c217eca1a1624
79,DR-81-KS,81,KS,Major Disaster,1957,Flood,Floods,NO,YES,YES,YES,1957-09-05T04:00:00Z,1957-09-05T04:00:00Z,9/5/57,9/5/57,0,Statewide,5f453123d07c217eca1a161b
80,DR-82-CA,82,CA,Major Disaster,1958,Flood,Heavy Rainstorms & Flood,NO,YES,YES,YES,1958-04-04T05:00:00Z,1958-04-04T05:00:00Z,4/4/58,4/4/58,0,Statewide,5f453123d07c217eca1a1626
81,DR-83-AR,83,AR,Major Disaster,1958,Flood,Heavy Rainstorms & Floods,NO,YES,YES,YES,1958-05-15T04:00:00Z,1958-05-15T04:00:00Z,5/15/58,5/15/58,0,Statewide,5f453123d07c217eca1a1627
82,DR-84-LA,84,LA,Major Disaster,1958,Flood,Floods,NO,YES,YES,YES,1958-05-20T04:00:00Z,1958-05-20T04:00:00Z,5/20/58,5/20/58,0,Statewide,5f453123d07c217eca1a161f
83,DR-85-TX,85,TX,Major Disaster,1958,Tornado,"Tornadoes, Rain, Hail & Floods",NO,YES,YES,YES,1958-06-06T04:00:00Z,1958-06-06T04:00:00Z,6/6/58,6/6/58,0,Statewide,5f453123d07c217eca1a1629
84,DR-86-IA,86,IA,Major Disaster,1958,Flood,Floods,NO,YES,YES,YES,1958-07-05T04:00:00Z,1958-07-05T04:00:00Z,7/5/58,7/5/58,0,Statewide,5f453123d07c217eca1a1621
85,DR-87-NC,87,NC,Major Disaster,1958,Hurricane,Hurricane & Severe Storm,NO,YES,YES,YES,1958-10-01T04:00:00Z,1958-10-01T04:00:00Z,10/1/58,10/1/58,0,Statewide,5f453123d07c217eca1a1623
86,DR-88-KS,88,KS,Major Disaster,1959,Flood,Floods,NO,YES,YES,YES,1958-11-06T05:00:00Z,1958-11-06T05:00:00Z,11/6/58,11/6/58,0,Statewide,5f453123d07c217eca1a162a
87,DR-89-PA,89,PA,Major Disaster,1959,Flood,Floods,NO,YES,YES,YES,1959-01-23T05:00:00Z,1959-01-23T05:00:00Z,1/23/59,1/23/59,0,Statewide,5f453123d07c217eca1a1625
88,DR-90-OH,90,OH,Major Disaster,1959,Flood,Floods,NO,YES,YES,YES,1959-01-23T05:00:00Z,1959-01-23T05:00:00Z,1/23/59,1/23/59,0,Statewide,5f453123d07c217eca1a1628
89,DR-91-IN,91,IN,Major Disaster,1959,Flood,Flood,NO,YES,YES,NO,1959-01-29T05:00:00Z,1959-01-29T05:00:00Z,1/29/59,1/29/59,0,Clay (County),5d1bceafd5b39c032f26038e
90,DR-92-OK,92,OK,Major Disaster,1959,Flood,Flood,NO,YES,YES,YES,1959-07-08T04:00:00Z,1959-07-08T04:00:00Z,7/8/59,7/8/59,0,Statewide,5f453123d07c217eca1a162b
91,DR-93-TX,93,TX,Major Disaster,1959,Flood,Floods,NO,YES,YES,YES,1959-07-08T04:00:00Z,1959-07-08T04:00:00Z,7/8/59,7/8/59,0,Statewide,5f453123d07c217eca1a162c
92,DR-94-HI,94,HI,Major Disaster,1959,Hurricane,Hurricane Dot,NO,YES,YES,YES,1959-08-16T04:00:00Z,1959-08-16T04:00:00Z,8/16/59,8/16/59,0,Statewide,5f453123d07c217eca1a162e
93,DR-95-OK,95,OK,Major Disaster,1960,Flood,Heavy Rains & Floods,NO,YES,YES,YES,1959-11-09T05:00:00Z,1959-11-09T05:00:00Z,11/9/59,11/9/59,0,Statewide,5f453123d07c217eca1a162f
94,DR-96-HI,96,HI,Major Disaster,1960,Earthquake,Earthquakes & Volcanic Disturbances,NO,YES,YES,YES,1960-01-21T05:00:00Z,1960-01-21T05:00:00Z,1/21/60,1/21/60,0,Statewide,5f453123d07c217eca1a1631
95,DR-97-FL,97,FL,Major Disaster,1960,Other,Severe Weather Conditions,NO,YES,YES,YES,1960-03-23T05:00:00Z,1960-03-23T05:00:00Z,3/23/60,3/23/60,0,Statewide,5f453123d07c217eca1a1632
96,DR-98-NE,98,NE,Major Disaster,1960,Flood,Floods,NO,YES,YES,YES,1960-04-04T05:00:00Z,1960-04-04T05:00:00Z,4/4/60,4/4/60,0,Statewide,5f453123d07c217eca1a1633
97,DR-99-SD,99,SD,Major Disaster,1960,Flood,Floods,NO,YES,YES,YES,1960-04-08T05:00:00Z,1960-04-08T05:00:00Z,4/8/60,4/8/60,0,Statewide,5f453123d07c217eca1a1634
98,DR-100-MO,100,MO,Major Disaster,1960,Flood,Floods,NO,YES,YES,YES,1960-04-20T05:00:00Z,1960-04-20T05:00:00Z,4/20/60,4/20/60,0,Statewide,5f453123d07c217eca1a1635
99,DR-101-HI,101,HI,Major Disaster,1960,Other,Tidal Waves,NO,YES,YES,YES,1960-05-25T04:00:00Z,1960-05-25T04:00:00Z,5/25/60,5/25/60,0,Statewide,5f453123d07c217eca1a1636
100,DR-102-AR,102,AR,Major Disaster,1960,Tornado,Tornadoes & Floods,NO,YES,YES,YES,1960-05-28T04:00:00Z,1960-05-28T04:00:00Z,5/28/60,5/28/60,0,Statewide,5f453123d07c217eca1a162d
101,DR-103-TX,103,TX,Major Disaster,1960,Severe Storm(s),"Heavy Rains, Hail, Floods & Tornadoes",NO,YES,YES,YES,1960-07-15T04:00:00Z,1960-07-15T04:00:00Z,7/15/60,7/15/60,0,Statewide,5f453123d07c217eca1a1630
102,DR-104-OK,104,OK,Major Disaster,1960,Severe Storm(s),"Heavy Rains, Hail, Floods & Tornadoes",NO,YES,YES,YES,1960-07-15T04:00:00Z,1960-07-15T04:00:00Z,7/15/60,7/15/60,0,Statewide,5f453123d07c217eca1a1639
103,DR-105-ID,105,ID,Major Disaster,1960,Fire,Fires,NO,YES,YES,YES,1960-07-22T04:00:00Z,1960-07-22T04:00:00Z,7/22/60,7/22/60,0,Statewide,5f453123d07c217eca1a163a
104,DR-106-FL,106,FL,Major Disaster,1960,Hurricane,Hurricane Donna,NO,YES,YES,YES,1960-09-12T04:00:00Z,1960-09-12T04:00:00Z,9/12/60,9/12/60,0,Statewide,5f453123d07c217eca1a1637
105,DR-107-NC,107,NC,Major Disaster,1960,Hurricane,Hurricane Donna,NO,YES,YES,YES,1960-09-16T04:00:00Z,1960-09-16T04:00:00Z,9/16/60,9/16/60,0,Statewide,5f453123d07c217eca1a1638
106,DR-108-MS,108,MS,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-02-27T05:00:00Z,1961-02-27T05:00:00Z,2/27/61,2/27/61,0,Statewide,5f453123d07c217eca1a163e
107,DR-109-AL,109,AL,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-02-27T05:00:00Z,1961-02-27T05:00:00Z,2/27/61,2/27/61,0,Statewide,5f453123d07c217eca1a163f
108,DR-110-GA,110,GA,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-03-02T05:00:00Z,1961-03-02T05:00:00Z,3/2/61,3/2/61,0,Statewide,5f453123d07c217eca1a1641
109,DR-111-IA,111,IA,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-03-31T05:00:00Z,1961-03-31T05:00:00Z,3/31/61,3/31/61,0,Statewide,5f453123d07c217eca1a163b
110,DR-112-AR,112,AR,Major Disaster,1961,Flood,Floods & Tornadoes,NO,YES,YES,YES,1961-05-16T04:00:00Z,1961-05-16T04:00:00Z,5/16/61,5/16/61,0,Statewide,5f453123d07c217eca1a163c
111,DR-113-IN,113,IN,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-05-20T04:00:00Z,1961-05-20T04:00:00Z,5/20/61,5/20/61,0,Statewide,5f453123d07c217eca1a163d
112,DR-115-IL,115,IL,Major Disaster,1961,Flood,Floods & Tornadoes,NO,YES,YES,YES,1961-05-27T04:00:00Z,1961-05-27T04:00:00Z,5/27/61,5/27/61,0,Statewide,5f453123d07c217eca1a1640
113,DR-114-MO,114,MO,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-05-27T04:00:00Z,1961-05-27T04:00:00Z,5/27/61,5/27/61,0,Statewide,5f453123d07c217eca1a1645
114,DR-116-ID,116,ID,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-06-26T04:00:00Z,1961-06-26T04:00:00Z,6/26/61,6/26/61,0,Statewide,5f453123d07c217eca1a1642
115,DR-117-WV,117,WV,Major Disaster,1961,Flood,Floods,NO,YES,YES,YES,1961-07-23T04:00:00Z,1961-07-23T04:00:00Z,7/23/61,7/23/61,0,Statewide,5f453123d07c217eca1a1643
116,DR-118-TX,118,TX,Major Disaster,1961,Hurricane,Hurricane Carla,NO,YES,YES,YES,1961-09-16T04:00:00Z,1961-09-16T04:00:00Z,9/16/61,9/16/61,0,Statewide,5f453123d07c217eca1a1644
117,DR-119-CA,119,CA,Major Disaster,1962,Fire,Fire (Los Angeles County),NO,YES,YES,YES,1961-11-16T05:00:00Z,1961-11-16T05:00:00Z,11/16/61,11/16/61,0,Statewide,5f453123d07c217eca1a1646
118,DR-120-ID,120,ID,Major Disaster,1962,Flood,Floods,NO,YES,YES,YES,1962-02-14T05:00:00Z,1962-02-14T05:00:00Z,2/14/62,2/14/62,0,Statewide,5f453123d07c217eca1a1647
119,DR-121-NV,121,NV,Major Disaster,1962,Flood,Floods,NO,YES,YES,YES,1962-02-22T05:00:00Z,1962-02-22T05:00:00Z,2/22/62,2/22/62,0,Statewide,5f453123d07c217eca1a1648
120,DR-122-CA,122,CA,Major Disaster,1962,Flood,Floods,NO,YES,YES,YES,1962-03-06T05:00:00Z,1962-03-06T05:00:00Z,3/6/62,3/6/62,0,Statewide,5f453123d07c217eca1a1649
121,DR-124-NJ,124,NJ,Major Disaster,1962,Flood,"Severe Storm, High Tides & Flooding",NO,YES,YES,YES,1962-03-09T05:00:00Z,1962-03-09T05:00:00Z,3/9/62,3/9/62,0,Statewide,5f453123d07c217eca1a164b
