,fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,Begin_Date,End_Date,Disaster_Period_Days,designated_area,id
45960,FM-5124-CA,5124,CA,Fire Management,2016,Fire,Old Fire,NO,NO,YES,YES,2016-06-04T04:00:00Z,2016-06-11T03:59:00Z,6/4/16,6/11/16,7,Los Angeles (County),5d1bcedcd5b39c032f26c623
45961,FM-5125-AZ,5125,AZ,Fire Management,2016,Fire,Tenderfoot Fire,NO,NO,YES,NO,2016-06-08T04:00:00Z,2016-06-16T03:59:00Z,6/8/16,6/16/16,8,Yavapai (County),5d1bcedcd5b39c032f26c686
45962,FM-5126-OR,5126,OR,Fire Management,2016,Fire,Akawana Fire,NO,NO,YES,NO,2016-06-07T16:00:00Z,2016-06-12T03:59:00Z,6/7/16,6/12/16,4,Jefferson (County),5d1bcedcd5b39c032f26c67d
45963,DR-4272-TX,4272,TX,Major Disaster,2016,Flood,Severe Storms And Flooding,YES,NO,YES,YES,2016-05-22T04:00:00Z,2016-06-25T03:59:00Z,5/22/16,6/25/16,34,Austin (County),5d1bced9d5b39c032f26b8ba
46009,FM-5127-NM,5127,NM,Fire Management,2016,Fire,Dog Head Fire,NO,NO,YES,NO,2016-06-14T04:00:00Z,2016-08-11T03:59:00Z,6/14/16,8/11/16,58,Bernalillo (County),5d1bcedcd5b39c032f26c62c
46011,FM-5128-CA,5128,CA,Fire Management,2016,Fire,Border 3 Fire,NO,NO,YES,NO,2016-06-19T04:00:00Z,2016-06-30T03:59:00Z,6/19/16,6/30/16,11,San Diego (County),5d1bcedcd5b39c032f26c689
46012,FM-5129-CA,5129,CA,Fire Management,2016,Fire,Fish Fire,NO,NO,YES,NO,2016-06-20T04:00:00Z,2016-07-01T03:59:00Z,6/20/16,7/1/16,11,Los Angeles (County),5d1bcedcd5b39c032f26c683
46013,FM-5130-UT,5130,UT,Fire Management,2016,Fire,Saddle Fire,NO,NO,YES,NO,2016-06-21T04:00:00Z,2016-07-12T12:00:00Z,6/21/16,7/12/16,21,Washington (County),5d1bcedcd5b39c032f26c67c
46014,FM-5131-CA,5131,CA,Fire Management,2016,Fire,Erskine Fire,NO,NO,YES,NO,2016-06-23T04:00:00Z,2016-07-07T03:59:00Z,6/23/16,7/7/16,14,Kern (County),5d1bcedcd5b39c032f26c682
46015,DR-4273-WV,4273,WV,Major Disaster,2016,Flood,"Severe Storms, Flooding, Landslides, And Mudslides",YES,NO,YES,YES,2016-06-22T04:00:00Z,2016-06-30T03:59:00Z,6/22/16,6/30/16,8,Lincoln (County),5d1bcedad5b39c032f26b9dd
46033,FM-5132-CA,5132,CA,Fire Management,2016,Fire,Sage Fire,NO,NO,YES,NO,2016-07-09T04:00:00Z,2016-07-15T03:59:00Z,7/9/16,7/15/16,6,Los Angeles (County),5d1bcedcd5b39c032f26c684
46034,FM-5133-CO,5133,CO,Fire Management,2016,Fire,Cold Springs Fire,NO,NO,YES,NO,2016-07-09T04:00:00Z,2016-07-15T03:59:00Z,7/9/16,7/15/16,6,Statewide,5f453157d07c217eca1a17a6
46035,FM-5134-NM,5134,NM,Fire Management,2016,Fire,Timberon Fire,NO,NO,YES,NO,2016-07-13T04:00:00Z,2016-08-19T03:59:00Z,7/13/16,8/19/16,37,Otero (County),5d1bcedcd5b39c032f26c68a
46036,DR-4274-OK,4274,OK,Major Disaster,2016,Flood,Severe Storms And Flooding,NO,NO,YES,YES,2016-06-11T04:00:00Z,2016-06-14T03:59:00Z,6/11/16,6/14/16,3,Stephens (County),5d1bcedad5b39c032f26b98e
46044,FM-5135-CA,5135,CA,Fire Management,2016,Fire,Sand Fire,NO,NO,YES,NO,2016-07-22T04:00:00Z,2016-08-02T03:59:00Z,7/22/16,8/2/16,11,Los Angeles (County),5d1bcedcd5b39c032f26c68e
46045,FM-2842-NM,2842,NM,Fire Management,2010,Fire,Cabazon Fire,NO,NO,YES,NO,2010-05-23T04:00:00Z,,5/23/10,#VALUE!,#VALUE!,Sandoval (County),5d1bcec6d5b39c032f2679c6
46046,FM-5137-CA,5137,CA,Fire Management,2016,Fire,Soberanes Fire,NO,NO,YES,NO,2016-07-22T04:00:00Z,2016-10-06T03:59:00Z,7/22/16,10/6/16,76,Monterey (County),5d1bcedcd5b39c032f26c693
46047,FM-5138-NV,5138,NV,Fire Management,2016,Fire,Rock Fire,NO,NO,YES,NO,2016-07-29T04:00:00Z,2016-08-01T03:59:00Z,7/29/16,8/1/16,3,Washoe (County),5d1bcedcd5b39c032f26c690
46048,FM-5139-WY,5139,WY,Fire Management,2016,Fire,Tokawana Fire,NO,NO,YES,NO,2016-07-28T04:00:00Z,2016-08-05T03:59:00Z,7/28/16,8/5/16,8,Uinta (County),5d1bcedcd5b39c032f26c6ab
46049,FM-5140-CA,5140,CA,Fire Management,2016,Fire,Goose Fire,NO,NO,YES,NO,2016-07-30T04:00:00Z,2016-08-09T03:59:00Z,7/30/16,8/9/16,10,Fresno (County),5d1bcedcd5b39c032f26c696
46050,FM-5141-NV,5141,NV,Fire Management,2016,Fire,Virginia Mountains Complex Fire,NO,NO,YES,NO,2016-07-29T04:00:00Z,2016-08-08T03:59:00Z,7/29/16,8/8/16,10,Washoe (County),5d1bcedcd5b39c032f26c68d
46051,FM-5142-WA,5142,WA,Fire Management,2016,Fire,South Ward Gap Fire,NO,NO,YES,NO,2016-07-31T16:00:00Z,2016-08-04T03:59:00Z,7/31/16,8/4/16,3,Benton (County),5d1bcedcd5b39c032f26c68f
46052,FM-2843-NM,2843,NM,Fire Management,2010,Fire,Rio Fire,NO,NO,YES,NO,2010-06-01T04:00:00Z,,6/1/10,#VALUE!,#VALUE!,Sandoval (County),5d1bcec6d5b39c032f267929
46053,DR-4275-MT,4275,MT,Major Disaster,2016,Tornado,Tornado,NO,NO,YES,YES,2016-06-11T04:00:00Z,2016-06-12T03:59:00Z,6/11/16,6/12/16,1,Fallon (County),5d1bcedad5b39c032f26bc6f
46054,FM-5144-CA,5144,CA,Fire Management,2016,Fire,Pilot Fire,NO,NO,YES,NO,2016-08-07T04:00:00Z,2016-08-17T03:59:00Z,8/7/16,8/17/16,10,San Bernardino (County),5d1bcedcd5b39c032f26c695
46055,DR-4276-WI,4276,WI,Major Disaster,2016,Severe Storm(s),Severe Storms And Flooding,NO,NO,YES,YES,2016-07-11T17:18:44Z,2016-07-13T03:59:00Z,7/11/16,7/13/16,1,Bad River Indian Reservation,5d1bcedad5b39c032f26bae0
46064,DR-4277-LA,4277,LA,Major Disaster,2016,Flood,Severe Storms And Flooding,YES,NO,YES,YES,2016-08-11T04:00:00Z,2016-09-01T03:59:00Z,8/11/16,9/1/16,21,Avoyelles (Parish),5d1bcedad5b39c032f26babd
46090,FM-5145-CA,5145,CA,Fire Management,2016,Fire,Clayton Fire,NO,NO,YES,NO,2016-08-13T04:00:00Z,2016-08-23T03:59:00Z,8/13/16,8/23/16,10,Lake (County),5d1bcedcd5b39c032f26c6ae
46091,FM-5146-CA,5146,CA,Fire Management,2016,Fire,Chimney Fire,NO,NO,YES,NO,2016-08-13T04:00:00Z,2016-09-07T03:59:00Z,8/13/16,9/7/16,25,San Luis Obispo (County),5d1bcedcd5b39c032f26c697
46092,FM-5147-CA,5147,CA,Fire Management,2016,Fire,Blue Cut Fire,NO,NO,YES,NO,2016-08-16T04:00:00Z,2016-08-23T03:59:00Z,8/16/16,8/23/16,7,San Bernardino (County),5d1bcedcd5b39c032f26c69b
46093,FM-5148-WA,5148,WA,Fire Management,2016,Fire,Wellesley Fire,NO,NO,YES,NO,2016-08-21T16:00:00Z,2016-08-25T03:59:00Z,8/21/16,8/25/16,3,Spokane (County),5d1bcedcd5b39c032f26c698
46094,FM-5149-WA,5149,WA,Fire Management,2016,Fire,Yale Fire,NO,NO,YES,NO,2016-08-21T16:00:00Z,2016-08-30T03:59:00Z,8/21/16,8/30/16,8,Spokane (County),5d1bcedcd5b39c032f26c69e
46095,FM-5150-CA,5150,CA,Fire Management,2016,Fire,Cedar Fire,NO,NO,YES,NO,2016-08-16T16:00:00Z,2016-09-09T03:59:00Z,8/16/16,9/9/16,23,Kern (County),5d1bcedcd5b39c032f26c699
46097,FM-5151-ID,5151,ID,Fire Management,2016,Fire,Henrys Creek Fire,NO,NO,YES,NO,2016-08-21T16:00:00Z,2016-09-01T03:59:00Z,8/21/16,9/1/16,10,Bonneville (County),5d1bcedcd5b39c032f26c6a0
46098,DR-4278-KY,4278,KY,Major Disaster,2016,Severe Storm(s),"Severe Storm, Tornadoes, Flooding, Landslides, And Mudslides",NO,NO,YES,YES,2016-07-02T04:01:00Z,2016-07-09T16:59:00Z,7/2/16,7/9/16,8,Ohio (County),5d1bced9d5b39c032f26b8b7
46118,FM-5152-WA,5152,WA,Fire Management,2016,Fire,Suncrest Fire,NO,NO,YES,NO,2016-08-27T16:00:00Z,2016-08-31T03:59:00Z,8/27/16,8/31/16,3,Chelan (County),5d1bcedcd5b39c032f26c69c
46119,FM-5153-OR,5153,OR,Fire Management,2016,Fire,Gold Canyon Fire,NO,NO,YES,NO,2016-08-30T04:00:00Z,2016-09-02T03:59:00Z,8/30/16,9/2/16,3,Josephine (County),5d1bcedcd5b39c032f26c6a1
46120,DR-4279-MD,4279,MD,Major Disaster,2016,Flood,Severe Storm And Flooding,NO,NO,YES,YES,2016-07-30T22:30:00Z,2016-07-31T17:28:00Z,7/30/16,7/31/16,1,Howard (County),5d1bcedad5b39c032f26bcfb
46121,DR-4280-FL,4280,FL,Major Disaster,2016,Hurricane,Hurricane Hermine,YES,NO,YES,YES,2016-08-31T04:00:00Z,2016-09-12T03:59:00Z,8/31/16,9/12/16,12,Pinellas (County),5d1bcedad5b39c032f26ba2b
